AALI,Astra Agro Lestari Tbk
ABBA,Mahaka Media Tbk
ABDA,Asuransi Bina Dana Arta Tbk
ABMM,ABM Investama Tbk
ACES,Ace Hardware Indonesia Tbk
ACST,PT Acset Indonusa Tbk.
ADCP,PT Adhi Commuter Properti Tbk
ADES,Akasha Wira International Tbk Tbk
ADHI,Adhi Karya  Tbk
ADMF,Adira Dinamika Multi Finance Tbk
ADMG,Polychem Indonesia Tbk
ADMR,PT Adaro Minerals Indonesia Tbk
ADRO,ADARO ENERGY Tbk
AEGS,PT Anugerah Spareparts Sejahtera Tbk.
AGAR,PT Asia Sejahtera Mina Tbk
AGII,PT Aneka Gas Industri Tbk.
AGRO,Bank Rakyat Indonesia Agroniaga Tbk
AGRS,PT Bank Agris Tbk
AHAP,Asuransi Harta Aman Pratama Tbk
AIMS,Akbar Indomakmur Stimec Tbk
AISA,Tiga Pilar Sejahtera Food Tbk
AKKU,PT Anugerah Kagum Karya Utama Tbk
AKPI,Argha Karya Prima Ind. Tbk
AKRA,AKR Corporindo Tbk
AKSI,PT Majapahit Inti Corpora Tbk.
ALDO,Alkindo Naratama Tbk
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry Tbk
ALTO,Tri Banyan Tirta Tbk
AMAG,Asuransi Multi Artha Guna Tbk
AMAN,PT Makmur Berkah Amanda Tb
AMAR,PT Bank Amar Indonesia Tbk.
AMFG,Asahimas Flat Glass Tbk
AMIN,PT Ateliers Mecaniques DIndonesie Tbk.
AMMN,PT Amman Mineral Internasional Tbk.
AMMS,PT Agung Menjangan Mas Tbk
AMOR,PT Ashmore Asset Management Indonesia Tbk.
AMRT,Sumber Alfaria Trijaya Tbk
ANDI,PT Andira Agro Tbk
ANJT,PT Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang  Tbk
APEX,Apexindo Pratama Duta Tbk
APIC,PACIFIC STRATEGIC FINANCIAL Tbk
APII,PT Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk
APLN,Agung Podomoro Land Tbk
APOL,Arpeni Pratama Ocean Line Tbk
ARCI,PT Archi Indonesia Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk
ARKA,PT Arkha Jayanti Persada Tbk.
ARKO,PT Arkora Hydro Tbk.
ARMY,PT Armidian Karyatama Tbk
ARNA,Arwana Citramulia Tbk
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,PT Bank Artos Indonesia Tbk
ASBI,Asuransi Bintang Tbk
ASDM,Asuransi Dayin Mitra Tbk
ASGR,Astra Graphia Tbk
ASHA,PT Cilacap Samudera Fishing Industry Tbk
ASII,Astra International Tbk
ASJT,Asuransi Jasa Tania Tbk
ASLC,PT Autopedia Sukses Lestari Tbk
ASMI,PT Asuransi Kresna Mitra Tbk.
ASPI,PT Andalan Sakti Primaindo Tbk.
ASRI,ALAM SUTERA REALTY Tbk
ASRM,Asuransi Ramayana Tbk
ASSA,Adi Sarana Armada Tbk
ATAP,PT Trimitra Prawara Goldland Tbk
ATIC,PT Anabatic Technologies Tbk
ATIC,Anabatic Technologies Tbk.
ATPK,Bara Jaya Internasional Tbk
AUTO,Astra Otoparts Tbk
AVIA,PT Avia Avian Tbk
AWAN,PT Era Digital Media Tbk
AXIO,PT Tera Data Indonusa Tbk
AYAM,PT Janu Putra Sejahtera Tbk.
AYLS,PT Agro Yasa Lestari Tbk
BABP,PT Bank MNC Internasional Tbk.
BABY,PT Multitrend Indo Tbk.
BACA,Bank Capital Indonesia Tbk
BAFI,PT Bussan Auto Finance Tbk.
BAJA,Saranacentral Bajatama Tbk
BALI,PT Bali Towerindo Sentra Tbk.
BANK,PT Bank Net Indonesia Syariah Tbk
BAPA,Bekasi Asri Pemula Tbk
BAPI,PT Bhakti Agung Propertindo Tbk.
BATA,Sepatu Bata Tbk
BAUT,PT Mitra Angkasa Sejahtera Tbk
BAYU,Bayu Buana Tbk
BBCA,Bank Central Asia Tbk
BBHI,PT Bank Harda Internasional Tbk.
BBKP,Bank Bukopin Tbk
BBLD,Buana Finance Tbk
BBMD,PT Bank Mestika Dharma Tbk.
BBNI,Bank Negara Indonesia Tbk
BBNP,Bank Nusantara Parahyangan Tbk
BBRI,PT Bank Rakyat Indonesia  Tbk
BBRM,Pelayaran Nasional Bina Buana Raya Tbk
BBSI,PT Bank Bisnis Internasional Tbk.
BBSS,PT Bumi Benowo Sukses Sejahtera Tbk
BBTN,Bank Tabungan Negara  Tbk
BBYB,PT Bank Yudha Bhakti Tbk.
BCAP,MNC Kapital Indonesia Tbk
BCIC,PT Bank JTrust Indonesia Tbk.
BCIP,Bumi Citra Permai Tbk
BDKR,PT Berdikari Pondasi Perkasa Tbk.
BDMN,Bank Danamon Indonesia Tbk
BEBS,PT Berkah Beton Sadaya Tbk
BEEF,PT Estika Tata Tiara Tbk.
BEER,PT Jobubu Jarum Minahasa Tbk
BEKS,PT Bank Pembangunan Daerah Banten Tbk.
BELI,PT Global Digital Niaga Tbk
BELL,PT Trisula Textile Industries Tbk
BESS,PT Batulicin Nusantara Maritim Tbk.
BEST,Bekasi Fajar Industrial Estate Tbk
BFIN,BFI Finance Indonesia Tbk
BGTG,PT Bank Ganesha Tbk.
BHAT,www.bhaktimultiartha.co.id
BHIT,PT MNC Investama Tbk.
BIKA,PT Binakarya Jaya Abadi Tbk.
BIKE,PT Sepeda Bersama Indonesia Tbk
BIMA,Primarindo Asia Infrastructure Tbk
BINA,PT Bank Ina Perdana Tbk.
BINO,PT Perma Plasindo Tbk
BIPI,Benakat Integra Tbk
BIPP,Bhuwanatala Indah Permai Tbk
BIRD,PT Blue Bird Tbk
BISI,BISI INTERNATIONAL Tbk
BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTG,PT Bank Pembangunan Daerah Jawa Tengah
BJTM,Bank Pembangunan Daerah Jawa Timur Tbk
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk
BKSW,PT Bank QNB Indonesia Tbk
BLTA,Berlian Laju Tanker Tbk
BLTZ,PT Graha Layar Prima Tbk.
BLUE,PT Berkah Prima Perkasa Tbk
BMAS,PT Bank Maspion Indonesia Tbk.
BMBL,PT Lavender Bina Cendikia Tbk
BMHS,PT Bundamedik Tbk
BMRI,Bank Mandiri  Tbk
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,Global Mediacom Tbk
BNBA,Bank Bumi Arta Tbk
BNBR,Bakrie &amp; Brothers Tbk
BNGA,PT Bank CIMB Niaga Tbk
BNII,PT Bank Maybank Indonesia Tbk
BNLI,Bank Permata Tbk
BOBA,PT Formosa Ingredient Factory Tbk
BOGA,PT Bintang Oto Global Tbk
BOLA,PT Bali Bintang Sejahtera Tbk.
BOLT,PT Garuda Metalindo Tbk.
BORN,Borneo Lumbung Energi &amp; Metal Tbk
BOSS,PT Borneo Olah Sarana Sukses Tbk
BPFI,Batavia Prosperindo Finance Tbk
BPII,PT Batavia Prosperindo Internasional Tbk.
BPTR,PT Batavia Prosperindo Trans Tbk.
BRAM,Indo Kordsa Tbk
BREN,PT Barito Renewables Energy Tbk.
BRIS, PT Bank Shariah Indonesia TBK
BRMS,Bumi Resources Minerals Tbk
BRNA,Berlina Tbk
BRPT,Barito Pacific Tbk
BSBK,PT Wulandari Bangun Laksana Tbk
BSDE,PT Bumi Serpong Damai Tbk
BSIM,Bank Sinarmas Tbk
BSML,PT Bintang Samudera Mandiri Lines Tbk
BSSR,Baramulti Suksessarana Tbk
BSWD,Bank of India Indonesia Tbk
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk
BTON,Betonjaya Manunggal Tbk
BTPN,PT BANK TABUNGAN PENSIUNAN NASIONAL Tbk
BTPS,PT Bank Tabungan Pensiunan Nasional Syariah Tbk.
BUAH,PT Segar Kumala Indonesia Tbk
BUDI,PT Budi Starch &amp; Sweetener Tbk.
BUKA,PT Bukalapak.com Tbk
BUKK,Bukaka Teknik Utama Tbk
BULL,Buana Listya Tama Tbk
BUMI,Bumi Resources Tbk
BUVA,PT Bukit Uluwatu Villa Tbk
BVIC,Bank Victoria International Tbk
BWPT,Eagle High Plantations Tbk
BYAN,Bayan Resources Tbk
CAKK,PT Cahayaputra Asa Keramik Tbk.
CAMP,PT Campina Ice Cream Industry Tbk.
CANI,PT Capitol Nusantara Indonesia Tbk.
CARE,PT Metro Healthcare Indonesia Tbk
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk
CASA,PT Capital Financial Indonesia Tbk
CASH,PT Cashlez Worldwide Indonesia Tbk.
CASS,Cardig Aero Services Tbk
CBMF,PT Cahaya Bintang Medan Tbk
CBPE,PT Citra Buana Prasida Tbk
CBRE,PT Cakra Buana Resources Energi Tbk
CBUT,PT Citra Borneo Utama Tbk
CCSI,PT Communication Cable Systems Indonesia Tbk.
CEKA,PT Wilmar Cahaya Indonesia Tbk.
CENT,PT Centratama Telekomunikasi Indonesia Tbk.
CFIN,Clipan Finance Indonesia Tbk
CHEM,PT Chemstar Indonesia Tbk
CHIP,PT Pelita Teknologi Global Tbk
CINT,PT Chitose Internasional Tbk
CITA,Cita Mineral Investindo Tbk
CITY,PT Natura City Developments Tbk.
CKRA,Cakra Mineral Tbk.
CLAY,PT. Citra Putra Realty Tbk.
CLEO,PT Sariguna Primatirta Tbk
CLPI,Colorpak Indonesia Tbk
CMNP,Citra Marga Nusaphala Persada Tbk
CMNT,PT Cemindo Gemilang Tbk
CMPP,Rimau Multi Putra Pratama
CMRY,PT Cisarua Mountain Dairy Tbk
CNKO,Exploitasi Energi Indonesia Tbk
CNMA,PT Nusantara Sejahtera Raya Tbk
CNTX,Centex Tbk
COAL,PT Black Diamond Resources Tbk
COCO,PT Wahana Interfood Nusantara Tbk.
COWL,COWELL DEVELOPMENT Tbk
CPIN,Charoen Pokphand Indonesia Tbk
CPRI,PT Capri Nusa Satu Properti Tbk.
CPRO,Central Proteina Prima Tbk
CRAB,PT Toba Surimi Industries Tbk
CRSN,PT Carsurin Tbk
CSAP,Catur Sentosa Adiprana Tbk
CSIS,PT Cahayasakti Investindo Sukses Tbk
CSMI,PT Cipta Selera Murni Tbk.
CSRA,PT Cisadane Sawit Raya Tbk.
CTBN,Citra Tubindo Tbk
CTRA,Ciputra Development Tbk
CTTH,Citatah Tbk
CUAN,PT Petrindo Jaya Kreasi Tbk
CYBR,PT ITSEC Asia Tbk.
DADA,PT Diamond Citra Propertindo Tbk.
DAJK,PT Dwi Aneka Jaya Kemasindo Tbk.
DART,Duta Anggada Realty Tbk
DAYA,PT Duta Intidaya Tbk.
DCII,PT DCI Indonesia Tbk
DEAL,PT Dewata Freightinternational Tbk.
DEFI,Danasupra Erapacific Tbk
DEPO,PT Caturkarda Depo Bangunan Tbk
DEWA,Darma Henwa Tbk
DEWI,PT Dewi Shri Farmindo Tbk
DFAM,PT Dafam Property Indonesia Tbk.
DGIK,Nusa Konstruksi Enjiniring Tbk
DGNS,PT Diagnos Laboratorium Utama Tbk
DIGI,PT Arkadia Digital Media Tbk
DILD,Intiland Development Tbk
DIVA,PT Distribusi Voucher Nusantara Tbk.
DKFT,Central Omega Resources Tbk
DLTA,Delta Djakarta Tbk
DMAS,PT Puradelta Lestari Tbk.
DMMX,PT Digital Mediatama Maxima Tbk
DMND,PT Diamond Food Indonesia Tbk.
DNAR,PT Bank Dinar Indonesia Tbk.
DNET,PT Indoritel Makmur Internasional Tbk.
DOID,Delta Dunia Makmur Tbk
DOOH,PT Era Media Sejahtera Tbk
DPNS,Duta Pertiwi Nusantara Tbk
DPUM,PT Dua Putra Utama Makmur Tbk.
DRMA,PT Dharma Polimetal Tbk
DSFI,Dharma Samudera Fishing Ind. Tbk
DSNG,PT Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUCK,PT Jaya Bersama Indo Tbk.
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk
DWGL,PT Dwi Guna Laksana Tbk.
DYAN,PT Dyandra Media International Tbk.
EAST,PT Eastparc Hotel Tbk
ECII,PT Electronic City Indonesia Tbk.
EDGE,PT Indointernet Tbk.
EKAD,Ekadharma International Tbk
ELIT,PT Data Sinergitama Jaya Tbk
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk
ELSA,Elnusa Tbk
ELTY,Bakrieland Development Tbk
EMDE,Megapolitan Developments Tbk
EMTK,Elang Mahkota Teknologi Tbk
ENAK,PT Champ Resto Indonesia Tbk
ENRG,Energi Mega Persada Tbk
ENVY,PT Envy Technologies Indonesia Tbk
ENZO,PT Morenzo Abadi Perkasa Tbk
EPAC,PT Megalestari Epack Sentosaraya Tbk.
EPMT,Enseval Putra Megatrading Tbk
ERAA,Erajaya Swasembada Tbk
ERAL,PT Sinar Eka Selaras Tbk
ERTX,Eratex Djaja Tbk
ESIP,PT Sinergi Inti Plastindo Tbk.
ESSA,Surya Esa Perkasa Tbk
ESTA,PT Esta Multi Usaha Tbk.
ESTI,Ever Shine Textile Industry Tbk
ETWA,Eterindo Wahanatama Tbk
EURO,PT Estee Gold Feet Tbk
EXCL,PT XL Axiata Tbk
FAPA,PT FAP Agri Tbk
FAST,Fast Food Indonesia Tbk
FASW,Fajar Surya Wisesa Tbk
FILM,PT MD Pictures Tbk.
FIMP,PT Fimperkasa Utama Tbk
FINN,PT First Indo American Leasing Tbk.
FIRE,PT Alfa Energi Investama Tbk.
FISH,FKS Multi Agro Tbk
FITT,PT Hotel Fitra International Tbk.
FLMC,PT Falmaco Nonwoven Industri Tbk
FMII,Fortune Mate Indonesia Tbk
FOLK,PT Multi Garam Utama Tbk.
FOOD,PT Sentra Food Indonesia Tbk.
FORU,Fortune Indonesia Tbk
FORZ,PT Forza Land Indonesia Tbk.
FPNI,PT Lotte Chemical Titan Tbk.
FREN,Smartfren Telecom Tbk
FUJI,PT Fuji Finance Indonesia Tbk.
FUTR,PT Lini Imaji Kreasi Ekosistem Tbk
FWCT,PT Wijaya Cahaya Timber Tbk
GAMA,Gading Development Tbk
GDST,Gunawan Dianjaya Steel Tbk
GDYR,Goodyear Indonesia Tbk
GEMA,Gema Grahasarana Tbk
GEMS,Golden Energy Mines Tbk
GGRM,Gudang Garam Tbk
GGRP,PT Gunung Raja Paksi Tbk.
GHON,PT Gihon Telekomunikasi Indonesia Tbk.
GIAA,Garuda Indonesia  Tbk
GJTL,Gajah Tunggal Tbk
GLOB,Global Teleshop Tbk
GLVA,PT Galva Technologies Tbk
GMCW,Grahamas Citrawisata Tbk
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.
GMTD,Gowa Makassar Tourism Development Tbk
GOLD,PT Visi Telekomunikasi Infrastruktur Tbk.
GOLL,PT Golden Plantation Tbk
GOOD,PT Garudafood Putra Putri Jaya Tbk.
GOTO,PT GoTo Gojek Tokopedia Tbk
GPRA,Perdana Gapura Prima Tbk
GPSO,PT Geoprima Solusi Tbk
GREN,Evergreen Invesco Tbk
GRIA,PT Ingria Pratama Capitalindo Tbk
GRPM,PT Graha Prima Mentari Tbk.
GSMF,Equity Development Investment Tbk
GTBO,Garda Tujuh Buana Tbk
GTRA,PT Grahaprima Suksesmandiri Tbk
GTSI,PT GTS Internasional Tbk
GULA,PT Aman Agrindo Tbk
GWSA,PT Greenwood Sejahtera Tbk
GZCO,Gozco Plantations Tbk
HADE,HD Capital Tbk
HAIS,PT Hasnur Internasional Shipping Tbk
HAJJ,PT Arsy Buana Travelindo Tbk
HALO,PT Haloni Jane Tbk
HATM,PT Habco Trans Maritima Tbk
HBAT,PT Minahasa Membangun Hebat Tbk
HDFA,Radana Bhaskara Finance Tbk
HDIT,PT Hensel Davest Indonesia Tbk
HDTX,Panasia Indo Resources Tbk
HEAL,PT Medikaloka Hermina Tbk.
HELI,PT. Jaya Trishindo Tbk.
HERO,Hero Supermarket Tbk
HEXA,Hexindo Adiperkasa Tbk
HILL,PT Hillcon Tbk
HITS,Humpuss Intermoda Transportasi Tbk
HKMU,PT HK Metals Utama Tbk.
HMSP,HM Sampoerna Tbk
HOKI,PT Buyung Poetra Sembada Tbk.
HOME,Hotel Mandarine Regency Tbk
HOMI,PT Grand House Mulia Tbk
HOPE,PT Harapan Duta Pertiwi Tbk.
HOTL,Saraswati Griya Lestari Tbk
HRME,PT Menteng Heritage Realty Tbk.
HRTA,PT Hartadinata Abadi Tbk
HRUM,Harum Energy Tbk
HUMI,PT Humpuss Maritim Internasional Tbk
IATA,PT Indonesia Transport &amp; Infrastructure Tbk.
IBFN,PT Intan Baruprana Finance Tbk
IBOS,PT Indo Boga Sukses Tbk
IBST,Inti Bangun Sejahtera Tbk
ICBP,Indofood CBP Sukses Makmur Tbk
ICON,Island Concepts Indonesia Tbk
IDEA,PT Idea Indonesia Akademi Tbk
IDPR,PT Indonesia Pondasi Raya Tbk.
IFII,PT Indonesia Fibreboard Industry Tbk
IFSH,PT Ifishdeco Tbk
IGAR,Champion Pacific Indonesia Tbk
IIKP,Inti Agri Resources Tbk
IKAI,Intikeramik Alamasri Industri Tbk
IKAN,PT Era Mandiri Cemerlang Tbk
IKBI,Sumi Indo Kabel Tbk
IKPM,PT Ikapharmindo Putramas Tbk.
IMAS,Indomobil Sukses Internasional Tbk
IMJS,PT Indomobil Multi Jasa Tbk.
IMPC,PT Impack Pratama Industri Tbk
INAF,Indofarma Tbk
INAI,Indal Aluminium Industry Tbk
INCF,PT Indo Komoditi Korpora Tbk
INCI,Intanwijaya Internasional Tbk
INCO,Vale Indonesia Tbk
INDF,Indofood Sukses Makmur Tbk
INDO,PT Royalindo Investa Wijaya Tbk
INDR,Indorama Synthetics Tbk
INDS,Indospring Tbk
INDX,Tanah Laut Tbk
INDY,Indika Energy Tbk
INET,PT Sinergi Inti Andalan Prima Tbk.
INKP,Indah Kiat Pulp &amp; Paper Tbk
INOV,PT Inocycle Technology Group Tbk.
INPC,Bank Artha Graha Internasional Tbk
INPP,Indonesian Paradise Property Tbk
INPS,PT Indah Prakasa Sentosa Tbk.
INRU,Toba Pulp Lestari Tbk
INTA,Intraco Penta Tbk
INTD,Inter-Delta Tbk
INTP,Indocement Tunggal Prakarsa Tbk
IOTF,PT Sumber Sinergi Makmur Tbk
IPAC,PT Era Graharealty Tbk
IPCC,PT Indonesia Kendaraan Terminal Tbk.
IPCM,PT Jasa Armada Indonesia Tbk.
IPOL,Indopoly Swakarsa Industry Tbk
IPPE,PT Indo Pureco Pratama Tbk
IPTV,PT MNC Vision Networks Tbk.
IRRA,PT Itama Ranoraya Tbk.
IRSX,PT Aviana Sinar Abadi Tbk
ISAP,PT Isra Presisi Indonesia Tbk
ISAT,Indosat Tbk
ISSP,PT Steel Pipe Industry of Indonesia Tbk
ITIC,PT Indonesian Tobacco Tbk.
ITMA,SUMBER ENERGI ANDALAN Tbk
ITMG,Indo Tambangraya Megah Tbk
ITTG,Leo Investments Tbk
JARR,PT Jhonlin Agro Raya Tbk
JAST,PT Jasnita Telekomindo Tbk.
JATI,PT Informasi Teknologi Indonesia Tbk.
JAWA,Jaya Agra Wattie Tbk
JAYA,PT Armada Berjaya Trans Tbk.
JECC,Jembo Cable Company Tbk
JGLE,PT Graha Andrasentra Propertindo Tbk.
JIHD,Jakarta International Hotels &amp; Development Tbk
JKON,Jaya Konstruksi Manggala Pratama Tbk
JKSW,Jakarta Kyoei Steel Works Tbk
JMAS,PT Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk
JPFA,JAPFA Comfeed Indonesia Tbk
JPRS,Jaya Pari Steel Tbk
JRPT,Jaya Real Property Tbk
JSKY,PT Sky Energy Indonesia Tbk.
JSMR,Jasa Marga Tbk
JSPT,Jakarta Setiabudi Internasional Tbk
JTPE,Jasuindo Tiga Perkasa Tbk
KAEF,Kimia Farma  Tbk
KAII,PT Kereta Api Indonesia Tbk.
KARW,ICTSI JASA PRIMA Tbk
KAYU,PT Darmi Bersaudara Tbk.
KBAG,PT Karya Bersama Anugerah Tbk
KBLI,KMI Wire and Cable Tbk
KBLM,Kabelindo Murni Tbk
KBLV,First Media Tbk
KBRI,Kertas Basuki Rachmat Indonesia Tbk
KDSI,Kedawung Setia Industrial Tbk
